Problem	GDE3	NSGAII	SMPSO
ZDT1	7.365517854690552	7.494794368743896	6.459846019744873
ZDT2	7.389971494674683	7.560922622680664	6.374662637710571
ZDT3	7.254338026046753	7.655745983123779	3.832886219024658
